IMGGenomeID,UpdatedIMGGenomeID,Clade
2667527247,2667527247,HLII
2667527246,2667527246,HLII
2667527245,2667527245,HLII
2667527244,2667527244,HLII
2667527243,2667527243,HLII
2667527242,2667527242,HLII
2667527241,2667527241,HLII
2667527240,2667527240,HLII
2667527239,2667527239,HLII
2654587783,2654587783,HLII
2654587782,2654587782,HLII
2654587781,2654587781,HLII
2654587780,2654587780,HLII
2654587779,2654587779,HLII
2654587778,2654587778,HLII
2654587735,2654587735,HLII
2654587734,2654587734,HLII
2654587690,2654587690,HLII
2654587612,2654587612,HLII
2651869831,2651869831,HLII
2648501917,2648501917,HLII
2648501812,2648501812,HLII
2648501807,2648501807,HLII
2648501767,2648501767,HLII
2648501714,2648501714,HLII
2648501456,2648501456,HLII
2648501450,2648501450,HLII
2648501432,2648501432,HLII
2648501403,2648501403,HLII
2648501290,2648501290,HLII
2648501259,2648501259,HLII
2648501142,2648501142,HLII
2645727954,2645727954,HLII
2645727953,2645727953,HLII
2645727878,2645727878,HLII
2645727806,2645727806,HLII
2645727771,2645727771,HLII
2645727716,2645727716,HLII
2645727588,2645727588,HLII
2645727585,2645727585,HLII
2645727517,2645727517,HLII
2639762776,2639762776,HLII
2634166556,2634166556,HLII
2623620984,647533199,HLII
2623620961,640069322,HLII
2623620959,640069321,HLII
2606217708,637000210,HLII
2606217692,2606217692,HLII
2606217691,2606217691,HLII
2606217690,2606217690,HLII
2606217688,2606217688,HLII
2606217687,2606217687,HLII
2606217683,2606217683,HLII
2606217680,2606217680,HLII
2606217679,2606217679,HLII
2606217677,2606217677,HLII
2606217606,2606217606,HLII
2606217559,2606217559,HLII
2606217318,2606217318,HLII
2606217316,2606217316,HLII
2606217312,2606217312,HLII
2551306659,2551306659,HLII
2716884485,2716884485,HLII.HLVI
2716884450,2716884450,HLII.HLVI
2667527345,2667527345,HLII.HLVI
2716884709,2716884709,HLIII
2551306661,2551306661,HLIII
2551306556,2551306556,HLIII
2551306555,2551306555,HLIII
2551306554,2551306554,HLIII
2551306547,2551306547,HLIII
2716884766,2716884766,HLIII.HLIV.HLV
2551306560,2551306560,HLIV
2551306558,2551306558,HLIV
2551306553,2551306553,HLIV
2551306551,2551306551,HLIV
2551306550,2551306550,HLIV
2716884762,2716884762,HLVI
2716884756,2716884756,HLVI
2716884741,2716884741,HLVI
2716884441,2716884441,HLVI
2716884432,2716884432,HLVI
2716884431,2716884431,HLVI
2716884387,2716884387,HLVI
2667527373,2667527373,HLVI
2667527363,2667527363,HLVI
2667527317,2667527317,HLVI
2667527266,2667527266,HLVI
2716884806,2716884806,LLI
2716884799,2716884799,LLI
2716884791,2716884791,LLI
2716884781,2716884781,LLI
2716884778,2716884778,LLI
2716884777,2716884777,LLI
2716884772,2716884772,LLI
2716884763,2716884763,LLI
2716884757,2716884757,LLI
2716884746,2716884746,LLI
2716884738,2716884738,LLI
2716884734,2716884734,LLI
2716884732,2716884732,LLI
2716884725,2716884725,LLI
2716884724,2716884724,LLI
2716884723,2716884723,LLI
2716884711,2716884711,LLI
2716884710,2716884710,LLI
2716884697,2716884697,LLI
2716884696,2716884696,LLI
2716884695,2716884695,LLI
2716884694,2716884694,LLI
2716884693,2716884693,LLI
2716884692,2716884692,LLI
2716884691,2716884691,LLI
2716884690,2716884690,LLI
2716884689,2716884689,LLI
2716884688,2716884688,LLI
2716884685,2716884685,LLI
2716884682,2716884682,LLI
2716884681,2716884681,LLI
2716884661,2716884661,LLI
2716884657,2716884657,LLI
2716884654,2716884654,LLI
2716884652,2716884652,LLI
2716884650,2716884650,LLI
2716884641,2716884641,LLI
2716884640,2716884640,LLI
2716884639,2716884639,LLI
2716884638,2716884638,LLI
2716884637,2716884637,LLI
2716884635,2716884635,LLI
2716884633,2716884633,LLI
2716884632,2716884632,LLI
2716884500,2716884500,LLI
2716884454,2716884454,LLI
2716884451,2716884451,LLI
2716884434,2716884434,LLI
2716884429,2716884429,LLI
2716884426,2716884426,LLI
2716884424,2716884424,LLI
2716884385,2716884385,LLI
2716884384,2716884384,LLI
2716884382,2716884382,LLI
2716884381,2716884381,LLI
2716884379,2716884379,LLI
2716884377,2716884377,LLI
2716884376,2716884376,LLI
2716884375,2716884375,LLI
2716884374,2716884374,LLI
2716884373,2716884373,LLI
2716884371,2716884371,LLI
2716884370,2716884370,LLI
2716884354,2716884354,LLI
2716884353,2716884353,LLI
2716884352,2716884352,LLI
2716884351,2716884351,LLI
2716884350,2716884350,LLI
2716884349,2716884349,LLI
2716884348,2716884348,LLI
2716884347,2716884347,LLI
2716884346,2716884346,LLI
2716884269,2716884269,LLI
2716884265,2716884265,LLI
2716884261,2716884261,LLI
2681813567,2681813567,LLI
2681812904,2681812904,LLI
2681812901,2681812901,LLI
2681812900,2681812900,LLI
2681812899,2681812899,LLI
2681812859,2681812859,LLI
2667527376,2667527376,LLI
2667527367,2667527367,LLI
2667527364,2667527364,LLI
2667527361,2667527361,LLI
2667527355,2667527355,LLI
2667527354,2667527354,LLI
2667527342,2667527342,LLI
2667527282,2667527282,LLI
2667527281,2667527281,LLI
2667527279,2667527279,LLI
2667527274,2667527274,LLI
2667527273,2667527273,LLI
2667527270,2667527270,LLI
2667527269,2667527269,LLI
2667527268,2667527268,LLI
2667527264,2667527264,LLI
2667527262,2667527262,LLI
2667527261,2667527261,LLI
2667527260,2667527260,LLI
2667527259,2667527259,LLI
2667527256,2667527256,LLI
2623620348,640069325,LLI
2606217560,2606217560,LLI
2606217419,2606217419,LLI
2606217240,637000212,LLI
2716884399,2716884399,LLI.LLVIII
2716884266,2716884266,LLI.LLVIII
2716884764,2716884764,LLII.LLIII
2716884754,2716884754,LLII.LLIII
2716884751,2716884751,LLII.LLIII
2716884750,2716884750,LLII.LLIII
2716884742,2716884742,LLII.LLIII
2716884736,2716884736,LLII.LLIII
2716884733,2716884733,LLII.LLIII
2716884443,2716884443,LLII.LLIII
2716884442,2716884442,LLII.LLIII
2716884440,2716884440,LLII.LLIII
2716884438,2716884438,LLII.LLIII
2716884433,2716884433,LLII.LLIII
2716884392,2716884392,LLII.LLIII
2716884271,2716884271,LLII.LLIII
2716884267,2716884267,LLII.LLIII
2681813571,2681813571,LLII.LLIII
2681812903,2681812903,LLII.LLIII
